,name,grape,product rating,number ratings,product type,country of origin,price,bold_value,tannic value,sweet_value,acidic_value,food_pairing
774,Bricco Paradiso Barbera d'Asti Superiore,Barbera,4.2,133 ratings,Red wine,Italy,€19,59.6892%,26.7242%,10.7208%,60.9527%,Beef
775,I Progni Valpolicella Ripasso Classico Superiore,Blend,4.2,130 ratings,Red wine,Italy,€16.90,64.0379%,41.3622%,30.8058%,29.3733%,Beef
776,Primitivo (Since 1913),Primitivo,4.2,127 ratings,Red wine,Italy,€16.90,67.6594%,22.5947%,43.475%,13.3549%,Beef
777,Podere dei Blumeri,Blend,4.2,127 ratings,Red wine,Italy,€28.50,65.8924%,42.6885%,21.4696%,34.4567%,Beef
778,Lagrein Perl,Lagrein,4.2,123 ratings,Red wine,Italy,€15.60,59.6651%,37.1977%,14.6857%,33.1496%,Beef
779,Equinoxe Cabernet - Syrah,Blend,4.2,121 ratings,Red wine,France,€17.43,68.067%,56.3093%,19.2438%,55.2823%,Beef
780,Lucale Appassimento Primitivo,Primitivo,4.2,120 ratings,Red wine,Italy,€9.04,66.5641%,21.0305%,43.402%,13.0789%,Beef
781,Classico Cabernet Sauvignon,Cabernet Sauvignon,4.2,114 ratings,Red wine,South Africa,€19.87,73.4789%,58.4657%,11.0102%,55.2869%,Beef
782,Merlot,Merlot,4.2,108 ratings,Red wine,Italy,€22.80,55.2495%,42.9979%,12.743%,49.4293%,Beef
783,Marùn Barbera d'Alba Superiore,Barbera,4.2,107 ratings,Red wine,Italy,€23.48,55.8542%,25.6874%,20.3027%,65.7697%,Beef
784,Ca' Carnocchio Veronese,Blend,4.2,107 ratings,Red wine,Italy,€25.90,64.7983%,35.6674%,18.7797%,28.0679%,Beef
785,Teresamanara Negroamaro,Negroamaro,4.2,104 ratings,Red wine,Italy,€15.10,79.4293%,40.5409%,29.1088%,26.456%,Beef
786,Chianti Rufina Vigneto Bucerchiale Riserva,Sangiovese,4.2,102 ratings,Red wine,Italy,€26.70,50.6711%,59.4046%,8.72021%,64.05%,Beef
787,Madrechiesa Morellino di Scansano Riserva,Sangiovese,4.2,101 ratings,Red wine,Italy,€29.60,54.8447%,42.0644%,12.7201%,44.394%,Beef
